gene	lfqctrl1	lfqctrl2	lfqctrl3	lfqctrl4	lfqctrl5	lfqeae1	lfqeae2	lfqeae3	lfqeae4	lfqeae5	lfqeae6	mean_log2lfqctrl	mean_log2lfqeae	log2fc	p	q	neglogq	enriched	mitocarta
Pex10	23.4268799854263	24.081884526828	23.8185088451098	22.6009744405606	23.6188272588974	23.7801664736137	23.6497657764025	23.9008572287312	23.5842845004771	23.8728627189586	24.4962515862878	23.5094150113644	23.8806980474118	0.371283036047391	0.238795617714947	0.396339314070902	1.33519201528772	0	0
Pde4b	24.4919166902905	24.277532599667	23.7439641080823	23.951715142436	23.8931918976111	23.8991983227904	23.8871603610782	23.6036544136965	23.6717405941236	23.3286869783668	23.0650443979674	24.0716640876174	23.5759141780038	-0.495749909613583	0.0292508377942143	0.10016919554835	3.31948918178677	0	0
Tomm5	28.4803904777829	29.1854160543116	29.8302908690035	29.6356797098566	29.3583784255552	29.1333739363537	29.2235450184804	29.1783804102578	28.8924393331203	28.7837859421973	28.3849215230998	29.298031107302	28.9327410272515	-0.365290080050404	0.216766415014369	0.374211979829333	1.41807234987436	0	1
Scn7a	25.3993045266242	25.7979078612737	26.4178485240783	26.0371628451194	26.1931181891249	25.2668159873979	25.4419608912891	25.2542899283564	24.8665567711077	25.0194980893644	25.4007707961448	25.9690683892441	25.20831541061	-0.76075297863407	0.00805347947184391	0.0406428227180574	4.62085558638697	1	0
Dlgap4	22.7313542621901	23.7124714406533	22.0126099049414	20.6646808284752	22.5455676560847	23.8753961504641	23.4856662071595	23.6636206426245	23.6416310830257	23.6833536153452	23.5694106296483	22.3333368184689	23.6531797213779	1.31984290290893	0.057065645822179	0.154408650816175	2.69517451235924	0	0
Zbed5,Chchd2	27.0719382399757	27.8610637084931	27.3333867324118	26.7534063154123	26.6909907550205	26.7901712817813	26.9805457945502	26.503912577619	26.4532946260043	27.8098034484365	26.8338833818168	27.1421571502627	26.895268518368	-0.246888631894656	0.42200538856062	0.57907279259846	0.788183380662664	0	0
Cad	23.3722550531914	23.8838089353294	22.0552745651516	21.4576038541954	23.1533006610125	23.3204469081362	22.6866270474349	23.2938981794957	23.3828456314224	22.8058343840697	23.2509697361825	22.7844486137761	23.1234369811236	0.338988367347497	0.499224143122576	0.649882166144051	0.621749936331469	0	0
Gnai1	28.6455736177772	28.2450411850802	28.2406810771204	28.3126355905775	28.5158170599039	28.1606276889583	28.0691745535721	28.0844111120981	28.0354333403677	27.7010097412324	27.8417015824214	28.3919497060918	27.982059669775	-0.409890036316831	0.00459946560814478	0.0271757158115033	5.20153815326712	0	0
Otud7b,Otud7a	24.0135046510436	24.7803667505684	23.7788639952772	24.6034280375716	24.0857790999125	23.8074469052745	24.0448523334443	23.9921348147299	24.0138453713713	23.831710829684	24.6921621195261	24.2523885068747	24.0636920623383	-0.188696444536323	0.437714364771759	0.592804442362398	0.754371835924136	0	0
Plxnb2	26.6353337481176	26.4959314937783	26.8064884590112	27.062602367488	26.7886787098324	27.5927766008867	27.3569103750606	27.5278328814253	27.4165928026475	27.3490835722093	27.7612278878498	26.7578069556455	27.5007373533465	0.742930397701034	0.000281433371310553	0.00373316361311548	8.06538554573508	1	0
Xpnpep3	26.1728558171824	25.8634643278623	27.0339117590732	26.7833176107402	27.1007920901646	26.5790269957791	26.7826929322109	26.4097638272633	26.3385133377002	26.2182279744	26.366547004115	26.5908683210045	26.4491286785781	-0.141739642426437	0.606918587924552	0.734518132374611	0.445129989178591	0	1
2310061I04Rik	28.7744531453088	28.5925984089913	29.0668161191337	28.943774065235	28.6181741432927	28.6766041682451	28.8869278745672	28.3496741664037	28.3883336576607	28.2025646300645	28.0608000605261	28.7991631763923	28.4274840929112	-0.371679083481098	0.0407099073557345	0.125511761704357	2.99410552945663	0	1
Pdzd8	23.7470415304115	23.5159298218429	23.9074738428479	24.1300627229633	24.2114855309479	24.3216171167408	24.2971211409586	23.9104963457056	24.2557311102762	25.2569190025137	24.4402507487947	23.9023986898027	24.4136892441649	0.511290554362251	0.0493222215668409	0.141353864712483	2.82261676689823	0	0
Osbpl8	25.0270288899621	24.9278669185137	25.1612718415345	24.8572357501119	24.9627431801459	25.910176077242	25.6728467795381	26.0911573927007	25.6670907466207	26.0185858035896	24.8383148882146	24.9872293160536	25.6996952813176	0.712465965264041	0.0111054840647799	0.0509849583056106	4.29378450697811	0	0
Tmem229a	23.2018732411589	22.0829964437813	23.2651354204584	22.9800759285779	23.6894452290721	22.6766376893197	23.4529447964335	22.9633098930883	22.0865948592856	22.7034201074558	22.6660902677775	23.0439052526097	22.7581662688934	-0.285738983716332	0.403793899075776	0.562860717671555	0.829150129570234	0	0
Ptprz1	25.6561369914373	25.6365511656613	25.294283912771	24.9768804753529	24.9335959340685	25.5922063093323	25.7039821240727	25.7358545024631	25.9235438435613	25.5242049979308	24.9512260103611	25.2994896958582	25.5718362979535	0.272346602095336	0.220741757098446	0.37835001880612	1.40220657804715	0	0
Krt14	25.0899055964913	25.2744432777251	26.1717302244378	25.6807273656368	26.4846218220906	24.4171886016427	25.0517131156662	25.508060474425	25.1690940477627	25.9128275867142	27.0692770067938	25.7402856572763	25.5213601388341	-0.218925518442227	0.641851577968689	0.7619575152681	0.39221753577867	0	0
