gene	lfqctrl1	lfqctrl2	lfqctrl3	lfqctrl4	lfqctrl5	lfqeae1	lfqeae2	lfqeae3	lfqeae4	validation	mean_log2lfqctrl	mean_log2lfqeae	log2fc	p	q	neglogq	enriched	mitocarta
Tmem35	26.44242859	26.23830414	26.43765068	26.61308861	26.47719002	26.24315262	26.22995186	26.25837517	26.34867859	1	26.441732408	26.27003956	-0.171692847999999	0.0436553824474271	0.635007712009581	0.655153981726314	0	0
Mavs	27.56380081	27.52887535	26.922966	27.17840385	26.93865204	27.88186264	27.60247231	27.34506989	27.97434998	1	27.22653961	27.700938705	0.474399094999999	0.0493316645174025	0.653000046816074	0.614844999683319	0	1
Ppid	26.62114716	26.89290237	26.76255989	26.96686172	26.8228054	26.28631973	26.47525787	26.81298828	26.52698326	1	26.813255308	26.525387285	-0.287868022999998	0.0708822068262711	0.687367300679281	0.540846873188686	0	0
Ndufa1	30.75342178	30.78885078	31.27913475	30.61374283	31.2642765	31.00195885	29.91996956	29.50682449	30.15843773	1	30.939885328	30.1467976575	-0.7930876705	0.08018552480641	0.717428491676623	0.479093053823387	0	1
Calu	28.30360603	28.26981544	28.62320709	28.50878906	28.19420433	29.35429573	28.72549629	28.7527523	28.73065567	1	28.37992439	28.8907999975	0.510875607500001	0.036140406569791	0.628533774403377	0.669937824616947	0	0
Slc7a5	28.41488075	28.38855934	28.32665253	28.43983841	28.15508842	29.04485512	28.22586823	28.82070732	28.8684864	1	28.34500389	28.7399792675	0.3949753775	0.109799544578354	0.743055206758862	0.428458692254833	0	0
Gna12	25.14792633	25.47353172	25.38266373	25.40161705	25.36192131	25.80500031	25.47769165	25.75050926	25.65061569	1	25.353532028	25.6709542275	0.317422199500001	0.0127126400767174	0.41250887223297	1.27750294573774	0	0
Cotl1	27.93980026	28.14345741	28.18688011	28.00233269	27.90546608	28.5829792	28.1523571	28.2321949	28.63481522	1	28.03558731	28.400586605	0.364999295000001	0.0494444130417725	0.653000046816074	0.614844999683319	0	0
Rps15a	27.51882172	27.88087082	27.68371582	27.49921989	27.69474792	28.25022507	28.51141167	27.77790451	27.75773621	1	27.655475234	28.074319365	0.418844131	0.103934695738484	0.732754080540677	0.448598997909896	0	1
Dao	26.62100792	26.84768677	26.645298	26.50723648	26.76995277	26.2181263	26.33163643	26.28887367	26.72987747	1	26.678236388	26.3921284675	-0.286107920499997	0.0831305391601304	0.717428491676623	0.479093053823387	0	0
Sec22b	29.23789215	29.52772141	29.48065948	29.40480804	29.26985931	30.04966545	29.52174377	29.75007057	29.74171448	1	29.384188078	29.7657985675	0.381610489499998	0.0293048134572124	0.582159256620299	0.780514221295309	0	0
Emc2	27.02633286	27.0521698	27.01467514	26.85697556	26.70770454	27.49868774	26.99803543	27.15417099	27.25799751	1	26.93157158	27.2272229175	0.295651337500001	0.0606898814073535	0.681813124210635	0.552551724726948	0	1
Lancl1	28.45088959	28.39578819	28.34255028	28.10534477	28.10462189	27.92110443	27.70536804	28.16473198	28.1160717	1	28.279838944	27.9768190375	-0.303019906500001	0.0581030397205119	0.681813124210635	0.552551724726948	0	0
Hip1	26.65140915	26.63488388	26.15786552	26.37883377	26.49323845	26.41288376	26.5775795	26.92778778	26.69584274	1	26.463246154	26.653523445	0.190277290999997	0.224768926027292	0.856897123881653	0.222806085152548	0	0
Adcy8	25.13922691	25.13672638	25.05831528	25.4431324	25.22434998	25.24923515	25.19794273	25.32008553	25.45852852	1	25.20035019	25.3064479825	0.106097792500002	0.262193264217513	0.87488380432876	0.192836673428339	0	0
Rab21	28.85388565	28.96500587	28.91053581	28.72981262	28.84113121	29.09397316	28.88266373	29.04433441	29.22976875	1	28.860074232	29.0626850125	0.202610780500002	0.058474152269254	0.681813124210635	0.552551724726948	0	0
Mgst1	27.94329834	27.58785057	27.61336899	27.55786133	27.35514641	28.70632362	27.71033478	28.23352242	28.58387566	1	27.611505128	28.30851412	0.697008991999997	0.0441904411240377	0.635007712009581	0.655153981726314	0	1
H2-L	25.33759499	25.71253395	25.60133171	25.71533966	25.23385048	28.28980255	26.59850883	27.56001472	27.07643127	1	25.520130158	27.3811893425	1.8610591845	0.0110810564263292	0.389757617033426	1.35935087709844	0	0
Scp2	29.77129936	30.10249519	30.22078133	30.06097984	29.88014793	30.84438324	30.25451088	30.33819962	30.23192024	1	30.00714073	30.417253495	0.410112765000001	0.0575314872401177	0.681813124210635	0.552551724726948	0	1
Cd44	27.71603966	27.78100586	27.73382568	27.29307365	27.82659912	28.92901611	28.19152451	27.73214531	28.53804779	1	27.670108794	28.34768343	0.677574635999999	0.0697550839639134	0.686873513116308	0.541883641842128	0	0
Mettl7a1/Mettl7a2	26.79048157	26.70793533	26.54577827	26.72570419	26.49265099	27.35144424	26.57044601	27.03275681	27.07841682	1	26.65251007	27.00826597	0.355755899999998	0.111793942344251	0.748070623932679	0.418753616234707	0	0
Scg3	26.49531364	26.43943405	26.52172089	26.1040554	26.09713936	26.62121773	26.39479065	26.7203846	26.57510757	1	26.331532668	26.5778751375	0.2463424695	0.0747465257657325	0.703628445282029	0.50711428769176	0	0
